duration,error
0.01,0.00019799699715804253
0.02,7.94861972099159e-05
0.03,0.00014564460027031713
0.04,0.00018760129984002338
0.05,0.0001394591003190726
0.06,7.931540079880728e-05
0.07,0.00022381509887053896
0.08,0.0002259867021348283
0.09,0.00018042620155029888
0.1,0.00033307800185866654
0.11,0.00025195730035192375
0.12,0.00021108980115969178
0.13,0.00026701369963120223
0.14,0.0003437430999474467
0.15,0.0003912951011443511
0.16,0.0002294735988834784
0.17,0.0002582099009305061
0.18,0.00020685040100945073
0.19,0.000328503501950772
0.2,0.0002408594998996705
0.21,0.00027717080141882456
0.22,0.00030267479713073084
0.23,0.00025821479677685667
0.24,0.00045614310016390825
0.25,0.0002703137986827642
0.26,0.00030788649804889265
0.27,0.0003466547012794585
0.28,0.00036544599744954277
0.29,0.00038196920009796463
0.3,0.0005588949978118762
0.31,0.00040591649943961806
0.32,0.0005073577002622009
0.33,0.0004891124978894101
0.34,0.0005632414971477928
0.35,0.00043019459990318866
0.36,0.0005320215981919673
0.37,0.0005451065005035894
0.38,0.0005734224995831205
0.39,0.0004834607004886138
0.4,0.0005126967036630959
0.41,0.0005661625013454241
0.42,0.0005116568977245883
0.43,0.0006047160003800123
0.44,0.000621283400105277
0.45,0.000539342500269413
0.46,0.0006888431007973317
0.47,0.0006465749972267787
0.48,0.0006335238012252553
0.49,0.0007025758991948905
0.5,0.000730416999431327
0.51,0.0007440318039153126
0.52,0.0006155926018254654
0.53,0.000699680300312977
0.54,0.0006734814983792248
0.55,0.0007042326004011556
0.56,0.0007302674994570602
0.57,0.0007060788990930434
0.58,0.0007130788976792424
0.59,0.000745960199274176
0.6,0.0006492173997685313
0.61,0.0007016781024868024
0.62,0.0007474554015789003
0.63,0.0007488808000926106
0.64,0.000791205500136094
0.65,0.0007951855019200593
0.66,0.0008539284003199477
0.67,0.0007632598991039963
0.68,0.0008016258990391379
0.69,0.000862071199808323
0.7,0.0008752124005695805
0.71,0.0008029308990808559
0.72,0.0007749598979717831
0.73,0.0008308553008828489
0.74,0.0008838972012744861
0.75,0.0008682285028044134
0.76,0.000912672799895553
0.77,0.0008704193995799691
0.78,0.0009544166986596991
0.79,0.0008203968021552654
0.8,0.000937799399252981
0.81,0.0007588604005285049
0.82,0.000823557599214908
0.83,0.0008185400033836387
0.84,0.0008721262967446464
0.85,0.0008645313006127253
0.86,0.0008498738001799566
0.87,0.0007219102012459899
0.88,0.0009094697993713652
0.89,0.0007342718972358497
0.9,0.0008537002024240792
0.91,0.0008928691013716517
0.92,0.0009127918002194591
0.93,0.0008887430990579759
0.94,0.0009052966017044639
0.95,0.0009535513003356755
0.96,0.000906605600030197
0.97,0.0009665849019075523
0.98,0.0008889082982204144
0.99,0.001031796901370363
1.0,0.001024133403552696